filepath,label
pos\test_0.tif,1
pos\test_1.tif,1
pos\test_2.tif,1
pos\test_3.tif,1
pos\test_4.tif,1
pos\test_5.tif,1
pos\test_6.tif,1
pos\test_7.tif,1
pos\test_8.tif,1
pos\test_9.tif,1
pos\test_10.tif,1
pos\test_11.tif,1
pos\test_12.tif,1
pos\test_13.tif,1
pos\test_14.tif,1
pos\test_15.tif,1
pos\test_16.tif,1
pos\test_17.tif,1
pos\test_18.tif,1
pos\test_19.tif,1
pos\test_20.tif,1
pos\test_21.tif,1
pos\test_22.tif,1
pos\test_23.tif,1
pos\test_24.tif,1
pos\test_25.tif,1
pos\test_26.tif,1
pos\test_27.tif,1
pos\test_28.tif,1
pos\test_29.tif,1
pos\test_30.tif,1
pos\test_31.tif,1
pos\test_32.tif,1
pos\test_33.tif,1
pos\test_34.tif,1
pos\test_35.tif,1
pos\test_36.tif,1
pos\test_37.tif,1
pos\test_38.tif,1
pos\test_39.tif,1
pos\test_40.tif,1
pos\test_41.tif,1
pos\test_42.tif,1
pos\test_43.tif,1
pos\test_44.tif,1
pos\test_45.tif,1
pos\test_46.tif,1
pos\test_47.tif,1
pos\test_48.tif,1
pos\test_49.tif,1
pos\test_50.tif,1
pos\test_51.tif,1
pos\test_52.tif,1
pos\test_53.tif,1
neg\nobirch_0.tif,0
neg\nobirch_1.tif,0
neg\nobirch_2.tif,0
neg\nobirch_3.tif,0
neg\nobirch_4.tif,0
neg\nobirch_5.tif,0
neg\nobirch_6.tif,0
neg\nobirch_7.tif,0
neg\nobirch_8.tif,0
neg\nobirch_9.tif,0
neg\nobirch_10.tif,0
neg\nobirch_11.tif,0
neg\nobirch_12.tif,0
neg\nobirch_13.tif,0
neg\nobirch_14.tif,0
neg\nobirch_15.tif,0
neg\nobirch_16.tif,0
neg\nobirch_17.tif,0
neg\nobirch_18.tif,0
neg\nobirch_19.tif,0
neg\nobirch_20.tif,0
neg\nobirch_21.tif,0
neg\nobirch_22.tif,0
neg\nobirch_23.tif,0
neg\nobirch_24.tif,0
neg\nobirch_25.tif,0
neg\nobirch_26.tif,0
neg\nobirch_27.tif,0
neg\nobirch_28.tif,0
neg\nobirch_29.tif,0
neg\nobirch_30.tif,0
neg\nobirch_31.tif,0
neg\nobirch_32.tif,0
neg\nobirch_33.tif,0
neg\nobirch_34.tif,0
neg\nobirch_35.tif,0
neg\nobirch_36.tif,0
neg\nobirch_37.tif,0
neg\nobirch_38.tif,0
neg\nobirch_39.tif,0
neg\nobirch_40.tif,0
neg\nobirch_41.tif,0
neg\nobirch_42.tif,0
neg\nobirch_43.tif,0
neg\nobirch_44.tif,0
neg\nobirch_45.tif,0
neg\nobirch_46.tif,0
neg\nobirch_47.tif,0
neg\nobirch_48.tif,0
neg\nobirch_49.tif,0
neg\nobirch_50.tif,0
neg\nobirch_51.tif,0
neg\nobirch_52.tif,0
neg\nobirch_53.tif,0
neg\nobirch_54.tif,0
neg\nobirch_55.tif,0
neg\nobirch_56.tif,0
neg\nobirch_57.tif,0
neg\nobirch_58.tif,0
neg\nobirch_59.tif,0
neg\nobirch_60.tif,0
neg\nobirch_61.tif,0
neg\nobirch_62.tif,0
